RouteID,Url,Type,TypeZh,RouteName
Green,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1100&locale=zh_TW,Green,綠,綠幹線
G1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1101&locale=zh_TW,Green,綠,綠1
G2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1102&locale=zh_TW,Green,綠,綠2
G2-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1713&locale=zh_TW,Green,綠,綠2-1
G3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1103&locale=zh_TW,Green,綠,綠3
G4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1104&locale=zh_TW,Green,綠,綠4
G5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1105&locale=zh_TW,Green,綠,綠5
G6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1106&locale=zh_TW,Green,綠,綠6
G7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1107&locale=zh_TW,Green,綠,綠7
G10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1110&locale=zh_TW,Green,綠,綠10
G11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1111&locale=zh_TW,Green,綠,綠11
G12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1112&locale=zh_TW,Green,綠,綠12
G12-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1714&locale=zh_TW,Green,綠,綠12-1
G12-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1715&locale=zh_TW,Green,綠,綠12-2
G13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1113&locale=zh_TW,Green,綠,綠13
G14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1114&locale=zh_TW,Green,綠,綠14
G15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1115&locale=zh_TW,Green,綠,綠15
G16,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1116&locale=zh_TW,Green,綠,綠16
G17,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1117&locale=zh_TW,Green,綠,綠17
G20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1120&locale=zh_TW,Green,綠,綠20
G20-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1702&locale=zh_TW,Green,綠,綠20-1
G21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1121&locale=zh_TW,Green,綠,綠21
G22,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1122&locale=zh_TW,Green,綠,綠22
G23,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1123&locale=zh_TW,Green,綠,綠23
G24,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1124&locale=zh_TW,Green,綠,綠24
G25,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1125&locale=zh_TW,Green,綠,綠25
G26,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1126&locale=zh_TW,Green,綠,綠26
G27,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1127&locale=zh_TW,Green,綠,綠27
G28,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1706&locale=zh_TW,Green,綠,綠28
G29,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1129&locale=zh_TW,Green,綠,綠29
G30,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1130&locale=zh_TW,Green,綠,綠30
G30-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1716&locale=zh_TW,Green,綠,綠30-1
G31,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1131&locale=zh_TW,Green,綠,綠31
G32,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1132&locale=zh_TW,Green,綠,綠32
Blue,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1200&locale=zh_TW,Blue,藍,藍幹線
B1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1201&locale=zh_TW,Blue,藍,藍1
B2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1202&locale=zh_TW,Blue,藍,藍2
B3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1203&locale=zh_TW,Blue,藍,藍3
B4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1204&locale=zh_TW,Blue,藍,藍4
B10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1210&locale=zh_TW,Blue,藍,藍10
B11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1211&locale=zh_TW,Blue,藍,藍11
B13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1213&locale=zh_TW,Blue,藍,藍13
B14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1214&locale=zh_TW,Blue,藍,藍14
B15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1215&locale=zh_TW,Blue,藍,藍15
B20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1220&locale=zh_TW,Blue,藍,藍20
B21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1221&locale=zh_TW,Blue,藍,藍21
B22,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1222&locale=zh_TW,Blue,藍,藍22
B23,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1223&locale=zh_TW,Blue,藍,藍23
B24,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1224&locale=zh_TW,Blue,藍,藍24
B25,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1225&locale=zh_TW,Blue,藍,藍25
B26,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1226&locale=zh_TW,Blue,藍,藍26
