RouteID,Url,Type
Green,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1100&locale=zh_TW,Green
G1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1101&locale=zh_TW,Green
G2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1102&locale=zh_TW,Green
G2-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1713&locale=zh_TW,Green
G3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1103&locale=zh_TW,Green
G4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1104&locale=zh_TW,Green
G5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1105&locale=zh_TW,Green
G6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1106&locale=zh_TW,Green
G7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1107&locale=zh_TW,Green
G10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1110&locale=zh_TW,Green
G11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1111&locale=zh_TW,Green
G12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1112&locale=zh_TW,Green
G12-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1714&locale=zh_TW,Green
G12-2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1715&locale=zh_TW,Green
G13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1113&locale=zh_TW,Green
G14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1114&locale=zh_TW,Green
G15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1115&locale=zh_TW,Green
G16,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1116&locale=zh_TW,Green
G17,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1117&locale=zh_TW,Green
G20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1120&locale=zh_TW,Green
G20-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1702&locale=zh_TW,Green
G21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1121&locale=zh_TW,Green
G22,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1122&locale=zh_TW,Green
G23,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1123&locale=zh_TW,Green
G24,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1124&locale=zh_TW,Green
G25,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1125&locale=zh_TW,Green
G26,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1126&locale=zh_TW,Green
G27,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1127&locale=zh_TW,Green
G28,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1706&locale=zh_TW,Green
G29,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1129&locale=zh_TW,Green
G30,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1130&locale=zh_TW,Green
G30-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1716&locale=zh_TW,Green
G31,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1131&locale=zh_TW,Green
G32,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1132&locale=zh_TW,Green
Blue,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1200&locale=zh_TW,Blue
B1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1201&locale=zh_TW,Blue
B2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1202&locale=zh_TW,Blue
B3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1203&locale=zh_TW,Blue
B4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1204&locale=zh_TW,Blue
B10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1210&locale=zh_TW,Blue
B11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1211&locale=zh_TW,Blue
B13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1213&locale=zh_TW,Blue
B14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1214&locale=zh_TW,Blue
B15,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1215&locale=zh_TW,Blue
B20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1220&locale=zh_TW,Blue
B21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1221&locale=zh_TW,Blue
B22,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1222&locale=zh_TW,Blue
B23,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1223&locale=zh_TW,Blue
B24,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1224&locale=zh_TW,Blue
B25,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1225&locale=zh_TW,Blue
B26,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1226&locale=zh_TW,Blue
B27,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1226&locale=zh_TW,Blue
