StationID,StationAddress,StationPhone,StationName
0900,1041基隆市中山區民治里1鄰中山一路16之 1號,02-24263743,基隆
0910,20045基隆市仁愛區德厚里龍安街 206 號,02-24230289,三坑
0920,20541基隆市暖暖區八南里八堵路 142 號,02-24560841,八堵
0930,20646基隆市七堵區長興里東新街 2 號,02-24553426,七堵
0940,20651基隆市七堵區堵南里明德三路 1 之 1 號,02-24528372,百福
0950,22178新北市汐止區長安里長安路 17 號,02-86476200,五堵
0960,22166新北市汐止區信望里信義路 1 號,02-26415096,汐止
0970,22184新北市汐止區大同里大同路二段 182 號,02-26499817#8730,汐科
0980,1151臺北市南港區南港里南港路一段 313 號,02-27838645,南港
0990,11088臺北市信義區永吉里松山路 11 號B1,02-27673819,松山
1000,100230臺北市中正區黎明里北平西路 3 號,02-23713558,臺北
1001,100230臺北市中正區,,臺北-環島
1010,108220臺北市萬華區富福里康定路 382 號,02-23020481,萬華
1020,22041新北市板橋區新民里縣民大道二段 7 號　,02-89691036,板橋
1030,22058新北市板橋區僑中里僑中二街 156 號,02-23815226#4665,浮洲
1040,23845新北市樹林區樹北里鎮前街 112 號,02-26812052,樹林
1050,23846新北市樹林區東山里中山路二段 230 號,02-26812052,南樹林
1060,23852新北市樹林區中山里山佳街 28 號,02-26808874,山佳
1070,23942新北市鶯歌區東鶯里文化路 68-1號,02-26792004,鶯歌
1080,33041桃園市桃園區武陵里中正路 1 號,03-3767050,桃園
1090,32072桃園市中壢區中原里中華路一段 267 號,03-4559725,內壢
1100,32041桃園市中壢區石頭里中和路 139 號,03-4223235,中壢
1110,32653桃園市楊梅區埔心里永美路 208 號,03-4827100,埔心
1120,32643桃園市楊梅區楊梅里大成路 256 號,03-4782893,楊梅
1130,32649桃園市楊梅區富岡里成功路 37 號,03-4723754,富岡
1140,32649桃園市楊梅區富豐里富全街 1 號,03-4723754,新富
1150,30371新竹縣湖口鄉東興村北湖路 1 號,03-5993850,北湖
1160,30342新竹縣湖口鄉仁勢村中山路二段 121 號,03-5992192,湖口
1170,30442新竹縣新豐鄉山崎村新興路 202 號,03-5596314,新豐
1180,30265新竹縣竹北市竹義里和平街 59 號,03-5552024,竹北
1190,30060新竹市 東區東園里中華路一段 291 之 2 號,03-5237441,北新竹
1191,30059新竹市 東區水源里千甲路 142 號,03-5237441,千甲
1192,30073新竹市 東區新莊里關東路 310 號,03-5237441,新莊
1193,31061新竹縣竹東鎮頭重里竹中路 145 號,03-5962042,竹中
1194,30273新竹縣竹北市隘口里復興三路二段 229 號,03-5962042,六家
1201,310新竹縣竹東鎮上員里光明路 (無站房),03-5962042,上員
1202,310新竹縣竹東鎮仁愛里北興路 (無站房),03-5962042,榮華
1203,31047新竹縣竹東鎮雞林里東林路 196 號,03-5962042,竹東
1204,31241新竹縣橫山鄉橫山村橫山路 97 號 (無站房),03-5962042,橫山
1205,31242新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,03-5962042,九讚頭
1206,31243新竹縣橫山鄉力行村中山街一段 17 號,03-5962042,合興
1207,312新竹縣橫山鄉豐田村中山街一段 (無站房),03-5962042,富貴
1208,31243新竹縣橫山鄉內灣村中正路 6 號,03-5962042,內灣
1210,30060新竹市 東區榮光里中華路二段 445 號,03-5237441,新竹
1220,30093新竹市 香山區香山里元培街 32 巷 30 號,03-5237441,三姓橋
1230,30094新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,03-5237441,香山
1240,35054苗栗縣竹南鎮崎頂里北戶 55 號,037-472030,崎頂
1250,35041苗栗縣竹南鎮竹南里中山路 166 號,037-472030,竹南
2110,36143苗栗縣造橋鄉談文村仁愛路 29 號,037-472030,談文
2120,35658苗栗縣後龍鎮大山里明山路 180 號,037-728616,大山
2130,35641苗栗縣後龍鎮北龍里車站街 127-2 號,037-728616,後龍
2140,35668苗栗縣後龍鎮龍京里公司寮 85 號,037-728616,龍港
2150,35742苗栗縣通霄鎮白西里白西 131 號,037-793066,白沙屯
2160,35742苗栗縣通霄鎮新埔里新埔 57 號,037-793066,新埔
2170,35741苗栗縣通霄鎮通西里中正路 109 號,037-758300,通霄
2180,35841苗栗縣苑裡鎮苑北里中山路 165 號,037-851013,苑裡
2190,43771臺中市大甲區孟春里中山路二段 140 巷 8 號,04-26816113,日南
2200,43744臺中市大甲區大甲里中山路一段 828 號,04-26872022,大甲
2210,43642臺中市清水區頂湳里甲南路 2 號,04-26225374,臺中港
2220,43653臺中市清水區南社里中正街 115 號,04-26222021,清水
