StationUID,StationID,StationName,StationPosition,StationAddress,StationPhone,StationClass,StationURL
TRA-0900,0900,"{'Zh_tw': '基隆', 'En': 'Keelung'}","{'PositionLon': 121.73997, 'PositionLat': 25.13411}",1041基隆市中山區民治里1鄰中山一路16之 1號,02-24263743,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0900
TRA-0910,0910,"{'Zh_tw': '三坑', 'En': 'Sankeng'}","{'PositionLon': 121.74202, 'PositionLat': 25.12305}",20045基隆市仁愛區德厚里龍安街 206 號,02-24230289,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0910
TRA-0920,0920,"{'Zh_tw': '八堵', 'En': 'Badu'}","{'PositionLon': 121.72898, 'PositionLat': 25.10843}",20541基隆市暖暖區八南里八堵路 142 號,02-24560841,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0920
TRA-0930,0930,"{'Zh_tw': '七堵', 'En': 'Qidu'}","{'PositionLon': 121.71415, 'PositionLat': 25.09294}",20646基隆市七堵區長興里東新街 2 號,02-24553426,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0930
TRA-0940,0940,"{'Zh_tw': '百福', 'En': 'Baifu'}","{'PositionLon': 121.69373, 'PositionLat': 25.07803}",20651基隆市七堵區堵南里明德三路 1 之 1 號,02-24528372,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0940
TRA-0950,0950,"{'Zh_tw': '五堵', 'En': 'Wudu'}","{'PositionLon': 121.66764, 'PositionLat': 25.07784}",22178新北市汐止區長安里長安路 17 號,02-86476200,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0950
TRA-0960,0960,"{'Zh_tw': '汐止', 'En': 'Xizhi'}","{'PositionLon': 121.66244, 'PositionLat': 25.06894}",22166新北市汐止區信望里信義路 1 號,02-26415096,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0960
TRA-0970,0970,"{'Zh_tw': '汐科', 'En': 'Xike'}","{'PositionLon': 121.64659, 'PositionLat': 25.06261}",22184新北市汐止區大同里大同路二段 182 號,02-26499817#8730,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0970
TRA-0980,0980,"{'Zh_tw': '南港', 'En': 'Nangang'}","{'PositionLon': 121.60706, 'PositionLat': 25.05348}",1151臺北市南港區南港里南港路一段 313 號,02-27838645,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0980
TRA-0990,0990,"{'Zh_tw': '松山', 'En': 'Songshan'}","{'PositionLon': 121.57807, 'PositionLat': 25.04936}",11088臺北市信義區永吉里松山路 11 號B1,02-27673819,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0990
TRA-1000,1000,"{'Zh_tw': '臺北', 'En': 'Taipei'}","{'PositionLon': 121.51784, 'PositionLat': 25.04771}",100230臺北市中正區黎明里北平西路 3 號,02-23713558,0,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1000
TRA-1001,1001,"{'Zh_tw': '臺北-環島', 'En': 'Taipei Surround Island'}","{'PositionLon': 121.51793, 'PositionLat': 25.04811}",100230臺北市中正區,,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1001
TRA-1010,1010,"{'Zh_tw': '萬華', 'En': 'Wanhua'}","{'PositionLon': 121.49984, 'PositionLat': 25.03348}",108220臺北市萬華區富福里康定路 382 號,02-23020481,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1010
TRA-1020,1020,"{'Zh_tw': '板橋', 'En': 'Banqiao'}","{'PositionLon': 121.46403, 'PositionLat': 25.01404}",22041新北市板橋區新民里縣民大道二段 7 號　,02-89691036,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1020
TRA-1030,1030,"{'Zh_tw': '浮洲', 'En': 'Fuzhou'}","{'PositionLon': 121.44477, 'PositionLat': 25.00419}",22058新北市板橋區僑中里僑中二街 156 號,02-23815226#4665,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1030
TRA-1040,1040,"{'Zh_tw': '樹林', 'En': 'Shulin'}","{'PositionLon': 121.42481, 'PositionLat': 24.99121}",23845新北市樹林區樹北里鎮前街 112 號,02-26812052,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1040
TRA-1050,1050,"{'Zh_tw': '南樹林', 'En': 'South Shulin'}","{'PositionLon': 121.40891, 'PositionLat': 24.98034}",23846新北市樹林區東山里中山路二段 230 號,02-26812052,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1050
TRA-1060,1060,"{'Zh_tw': '山佳', 'En': 'Shanjia'}","{'PositionLon': 121.39273, 'PositionLat': 24.97233}",23852新北市樹林區中山里山佳街 28 號,02-26808874,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1060
TRA-1070,1070,"{'Zh_tw': '鶯歌', 'En': 'Yingge'}","{'PositionLon': 121.35535, 'PositionLat': 24.95432}",23942新北市鶯歌區東鶯里文化路 68-1號,02-26792004,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1070
TRA-1080,1080,"{'Zh_tw': '桃園', 'En': 'Taoyuan'}","{'PositionLon': 121.31399, 'PositionLat': 24.98941}",33041桃園市桃園區武陵里中正路 1 號,03-3767050,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1080
TRA-1090,1090,"{'Zh_tw': '內壢', 'En': 'Neili'}","{'PositionLon': 121.25814, 'PositionLat': 24.97287}",32072桃園市中壢區中原里中華路一段 267 號,03-4559725,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1090
TRA-1100,1100,"{'Zh_tw': '中壢', 'En': 'Zhongli_Taoyuan'}","{'PositionLon': 121.22571, 'PositionLat': 24.95382}",32041桃園市中壢區石頭里中和路 139 號,03-4223235,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1100
