StationID,StationAddress,StationPhone,StationName
4110,73143臺南市後壁區後壁里後壁 77 號,06-6872055,後壁
4120,73045臺南市新營區中營里中山路 1 號,06-6322104,新營
4130,73657臺南市柳營區東昇里建國路 1 號,06-6226450,柳營
4140,73444臺南市六甲區中社里林鳳營 16 號,06-6986086,林鳳營
4150,72041臺南市官田區隆田里中山路一段 1 號,06-5791664,隆田
4160,72044臺南市官田區拔林里拔子林 83 之 1 號,06-5791664,拔林
4170,74154臺南市善化區光文里中山路 1 號,06-5837301,善化
4180,74443臺南市新市區大營里大營 287-300 號,06-5896356,南科
4190,74448臺南市新市區新和里中華路 1 號,06-5996911,新市
4200,71090臺南市永康區埔園里中山路 459 號,06-2323305,永康
4210,71049臺南市永康區西橋里中華路 835 號,06-3021755,大橋
4220,70146臺南市東區成大里北門路二段 4 號,06-2261314,臺南
4250,71755臺南市仁德區保安里文賢路一段 529 巷 10 號,06-2665988,保安
4260,71750臺南市仁德區保安里永德路 10 號,06-2669383,仁德
4270,71754臺南市仁德區中洲五街236號,06-2667191,中洲
4271,71150臺南市歸仁區大潭里長大路15 號,06-2782615,長榮大學
4272,71151臺南市歸仁區沙崙里歸仁大道 102 號,06-3032686,沙崙
